특성별(1),특성별(2),2022,2022,2022,2022,2022,2022,2022
특성별(1),특성별(2),문자 및 인스턴트 메시지,SNS,온라인 게임,커뮤니티·동호회,개인 방송 서비스,메타버스,기타
전체,소계,38.4,21.2,47.5,4,4.9,2.6,1.4
성별,남학생,29.9,12.5,64.4,2.4,4.8,2.3,1.2
성별,여학생,50,33.1,24.2,6.2,5.1,3.1,1.7
학령별,초등학교,42.2,9.1,53.2,1.5,5.4,4.4,2.3
학령별,중학교,40.8,25.9,43.7,4.5,3.7,1.9,0.7
학령별,고등학교,30,30.4,45.4,6.6,5.9,1.4,1.3
학교특성별,남학교,28.2,15.1,60.8,3.2,4.5,0.7,1.6
학교특성별,여학교,42.5,47.5,22,6.7,4,1.1,0.7
학교특성별,남녀공학,37.5,28.3,43.3,5.8,4.7,2,0.8
거주지역별,대도시,38,21.3,46.8,4.4,5.5,2.6,1.8
거주지역별,중소도시,38.5,20.2,48.5,3.3,4.3,2.7,1.3
거주지역별,읍면지역,38.7,25.1,45.8,5.6,5.5,2.2,0.9
권역별,수도권,40,20.6,46.2,4.2,4.4,2.9,1.5
권역별,충청권,35.2,22.6,50.1,3.4,5.2,3.5,1.7
권역별,호남권,37.6,23.2,45.6,3.5,7.3,2.1,1.7
권역별,동북권,36.6,22.2,48.4,4.1,3.8,1.8,2.1
권역별,동남권,37.4,19.9,50.2,3.9,5.5,2.2,0.5
인터넷 이용 시간별,1시간 미만,45.8,14.7,41.2,3.8,7.5,5.9,1.3
인터넷 이용 시간별,1~2시간 미만,44.2,11.4,46.9,2.3,4.2,3.7,2.2
인터넷 이용 시간별,2~3시간 미만,39.2,17.4,50.7,4.5,5.1,2.6,1.6
인터넷 이용 시간별,3~5시간 미만,35.1,22.3,49.5,3.6,4.9,1.9,1.3
인터넷 이용 시간별,5시간 이상,37,29.3,44,4.9,4.7,2.5,1
가정형편별,상위,45.3,18.5,45.9,4.5,7.2,5.8,1.5
가정형편별,중위,37.8,21.4,47.6,3.9,4.6,2.2,1.5
가정형편별,하위,26.9,23.8,51.5,4.7,4.8,2.9,0.8
학업성적별,상위권,43.1,19.2,47.2,4,5,4.1,1
학업성적별,중위권,37.7,21.4,47.8,4,4.9,2.3,1.4
학업성적별,하위권,32.7,23.6,46.1,3.4,4.2,2.1,2.4
사이버폭력 예방교육별,경험 있음,39.2,21.2,47.4,3.7,4.8,2.8,1.5
사이버폭력 예방교육별,경험 없음,31.1,21,48.8,6.3,5.5,1.4,1
