"특성별(1)",특성별(2),2021,2021,2021,2021,2021,2021,2021
"특성별(1)",특성별(2),문자 및 인스턴트 메시지 (카카오톡 라인 페이스북 메신저 텔레그램 등),SNS (페이스북 인스타그램 블로그 등),온라인 게임,커뮤니티·동호회 (네이버·다음카페 블라인드 에스크 등),이메일,개인 홈페이지,기타
"전체",소계,55.6,34.5,18.4,6.3,2.7,2.3,1.7
"성별",남학생,53.1,29.7,25.5,5.4,2.7,1.8,2.0
"성별",여학생,58.3,39.7,10.7,7.4,2.6,2.8,1.4
"학령별",초등학교,56.8,24.7,25.6,7.4,3.1,2.3,2.1
"학령별",중학교,56.0,36.4,17.4,4.0,2.7,2.5,2.1
"학령별",고등학교,53.4,45.5,9.9,7.6,2.1,2.0,0.6
"학교특성별",남학교,60.6,39.5,15.2,3.0,4.0,0.6,3.2
"학교특성별",여학교,54.3,45.8,8.4,4.2,2.7,4.5,2.1
"학교특성별",남녀공학,55.3,33.1,19.6,6.8,2.6,2.2,1.5
"거주지역별",대도시,53.0,36.5,20.4,8.0,3.2,3.0,1.6
"거주지역별",중소도시,58.2,33.8,16.4,5.4,2.3,1.6,1.7
"거주지역별",읍면지역,54.1,31.2,19.7,5.1,2.5,2.4,2.1
"권역별",수도권,60.1,35.0,15.1,7.5,3.0,2.2,0.6
"권역별",충청권,54.0,32.3,18.5,4.8,2.0,2.1,3.8
"권역별",호남권,52.7,32.3,21.5,6.1,1.9,3.3,2.6
"권역별",동북권,53.6,37.1,19.1,5.5,2.3,2.8,0.8
"권역별",동남권,44.7,34.3,27.0,4.1,3.3,1.5,3.7
"인터넷 이용 시간별",1시간 미만,67.9,27.8,10.6,5.5,3.8,2.4,1.8
"인터넷 이용 시간별",1~2시간 미만,57.4,31.0,13.6,8.8,3.8,2.0,1.6
"인터넷 이용 시간별",2~3시간 미만,55.2,36.5,17.5,5.7,2.2,2.9,1.1
"인터넷 이용 시간별",3~4시간 미만,54.7,35.2,23.2,6.2,3.7,0.8,1.5
"인터넷 이용 시간별",4시간 이상,52.5,36.3,21.7,5.3,1.3,3.0,2.5
"가정형편별",상위,54.4,36.4,20.3,6.3,2.1,2.5,1.6
"가정형편별",중위,56.5,33.3,16.8,6.5,2.9,2.4,1.6
"가정형편별",하위,57.0,31.4,18.0,5.3,4.4,0.6,2.1
"학업성적별",상위권,57.2,32.1,18.0,5.8,3.3,3.0,1.6
"학업성적별",중위권,55.0,36.0,17.3,8.0,2.6,2.1,1.6
"학업성적별",하위권,52.1,37.1,24.6,1.6,1.0,0.3,2.5
"사이버폭력 예방교육별",경험 있음,56.0,34.7,18.6,5.5,2.8,2.2,1.8
"사이버폭력 예방교육별",경험 없음,52.4,32.8,17.0,14.3,1.9,3.4,0.8
