"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),가해자를 차단 하거나 나의 아이디나 이메일을 삭제 또는 변경하였다,가해자에게 직접 삭제하도록 하거나 사과를 요구하였다,가족 친구 선·후배 선생님등 주변에 알리거나 도움을 요청하였다,아무런 행동도 하지 않았다,해당 웹사이트나 상담센터 또는 경찰(학교폭력 신고센터 117등)에 신고했다,가해자에게 보복하거나 다른 사람을 대신 괴롭혔다
"전체",소계,40.1,26.5,11.5,32.4,4.4,4.0
"성별",남학생,35.6,21.6,7.9,38.0,5.1,6.4
"성별",여학생,46.5,33.2,16.5,24.6,3.5,0.7
"학령별",초등학교,41.8,29.8,14.1,29.5,3.9,2.2
"학령별",중학교,38.9,28.4,12.6,30.8,5.2,4.8
"학령별",고등학교,39.7,19.4,6.8,38.2,4.1,5.3
"학교특성별",남학교,33.5,17.9,6.0,40.2,4.4,10.6
"학교특성별",여학교,49.0,34.1,12.4,29.0,4.4,0.5
"학교특성별",남녀공학,39.4,25.1,10.9,33.0,4.8,4.2
"거주지역별",대도시,40.9,27.1,11.0,32.4,4.2,4.7
"거주지역별",중소도시,39.4,26.1,11.2,32.6,4.7,3.7
"거주지역별",읍면지역,40.8,26.3,14.9,31.4,4.0,3.3
"권역별",수도권,40.0,26.6,12.1,32.0,3.8,3.6
"권역별",충청권,37.7,25.0,12.5,34.4,5.7,4.8
"권역별",호남권,43.4,25.8,9.2,32.5,5.2,4.0
"권역별",동북권,41.6,26.6,12.0,32.4,3.4,5.8
"권역별",동남권,39.1,27.5,10.3,31.9,5.6,3.4
"인터넷 이용 시간별",1시간 미만,38.2,30.0,20.1,31.3,6.6,5.6
"인터넷 이용 시간별",1~2시간 미만,39.5,29.5,15.7,29.0,3.5,2.1
"인터넷 이용 시간별",2~3시간 미만,41.7,27.4,9.5,30.7,4.9,2.5
"인터넷 이용 시간별",3~5시간 미만,39.9,24.5,9.0,34.1,5.0,5.5
"인터넷 이용 시간별",5시간 이상,39.6,25.7,12.6,33.9,3.6,4.6
"가정형편별",상위,38.7,33.0,18.8,25.7,4.6,4.5
"가정형편별",중위,40.3,25.7,10.6,33.2,4.3,3.9
"가정형편별",하위,40.7,23.4,12.9,33.5,9.0,4.9
"학업성적별",상위권,37.9,30.3,13.4,30.1,4.7,4.7
"학업성적별",중위권,41.5,26.3,11.1,32.1,4.5,3.6
"학업성적별",하위권,32.3,18.1,10.7,40.8,3.2,6.1
"사이버폭력 예방교육별",경험 있음,41.2,27.4,11.5,31.0,4.4,3.8
"사이버폭력 예방교육별",경험 없음,30.4,17.9,11.4,44.6,4.4,5.7
